small_p,small_c,big_c,Focusing_z,Focusing_e_field,Focusing_FWHM ,Focusing_beam_waist
700,1,9,,,,
700,2,8,,,,
700,3,7,,,,
700,4,6,15.81081081081081,0.3946662382630626,0.4843918191603862,0.7534983853606008
700,5,5,17.24815724815725,0.3510251669396074,1.34553283100108,5.758880516684606
700,6,4,17.886977886977885,0.34559005837716705,0.699677072120565,1.1302475780409083
700,7,3,18.525798525798525,0.3039751517326232,1.0764262648008653,1.5069967707212086
700,8,2,,,,
700,9,1,,,,
800,1,9,,,,
800,2,8,,,,
800,3,7,15.970515970515969,0.3779927867529424,1.6684607104413374,5.3283100107642625
800,4,6,18.685503685503683,0.35165094874378167,1.7222820236813803,9.149623250807323
800,5,5,19.164619164619165,0.34747691518525264,1.6684607104413374,8.988159311087195
800,6,4,18.845208845208845,0.3219268570325686,1.1302475780409011,1.6684607104413374
800,7,3,21.08108108108108,0.30682064187553654,1.0764262648008582,1.6146393972012945
800,8,2,25.07371007371007,0.27712216824699376,1.1302475780409083,1.937567276641552
800,9,1,,,,
900,1,9,,,,
900,2,8,24.594594594594593,0.3038728701190095,3.283100107642632,18.08396124865446
900,3,7,,,,
900,4,6,20.6019656019656,0.3549408573773932,2.2604951560818094,5.866523143164692
900,5,5,20.282555282555283,0.34784734006557555,2.0990312163616807,7.212055974165764
900,6,4,21.56019656019656,0.3269527420851899,2.368137782561895,8.611410118406887
900,7,3,22.358722358722357,0.3033940226510638,1.0764262648008582,1.937567276641552
900,8,2,25.233415233415233,0.2760058896913835,1.4531754574811657,2.0452099031216378
900,9,1,26.990171990171987,0.25973773935197214,1.5608180839612515,1.937567276641552
1000,1,9,,,,
1000,2,8,,,,
1000,3,7,,,,
1000,4,6,,,,
1000,5,5,21.4004914004914,0.32184201131847723,2.9063509149623243,11.517761033369212
1000,6,4,24.434889434889435,0.2843178284937316,3.2831001076426247,7.857911733046279
1000,7,3,25.71253071253071,0.2890916169318529,3.4983853606028035,10.92572658772874
1000,8,2,27.14987714987715,0.25788425247656277,1.5069967707212086,2.0452099031216378
1000,9,1,27.309582309582307,0.2546381958659022,1.237890204520994,1.7761033369214232
1100,1,9,,,,
1100,2,8,,,,
1100,3,7,,,,
1100,4,6,34.65601965601965,0.24429899594073867,0.10764262648008582,0.21528525296017165
1100,5,5,29.385749385749385,0.258368850845427,5.705059203444563,19.106566200215283
1100,6,4,21.719901719901717,0.2645132550246736,0.05382131324004291,0.05382131324004291
1100,7,3,27.628992628992627,0.25403321782626254,0.5382131324004433,0.7534983853606008
1100,8,2,27.46928746928747,0.25386429868188987,0.9687836383207724,1.5608180839612515
1100,9,1,31.3022113022113,0.2353867766202692,1.130247578040894,1.6684607104413374
